9944.69,927.87,2018-2-16 06:09 PM  
9944.69,927.87,2018-2-16 06:09 PM  
9944.83,927.86,2018-2-16 06:09 PM  
9944.83,927.86,2018-2-16 06:09 PM  
9944.83,927.86,2018-2-16 06:09 PM  
9944.83,927.86,2018-2-16 06:09 PM  
9944.83,927.86,2018-2-16 06:09 PM  
9944.83,927.86,2018-2-16 06:09 PM  
9944.83,927.86,2018-2-16 06:09 PM  
9945.01,927.86,2018-2-16 06:09 PM  
9945.01,927.86,2018-2-16 06:09 PM  
9945.01,927.86,2018-2-16 06:09 PM  
9945.01,927.86,2018-2-16 06:09 PM  
9945.01,927.86,2018-2-16 06:09 PM  
9945.01,927.86,2018-2-16 06:09 PM  
9936.54,928.05,2018-2-16 06:10 PM  
9936.54,928.05,2018-2-16 06:10 PM  
9936.54,928.05,2018-2-16 06:10 PM  
9936.54,928.05,2018-2-16 06:10 PM  
9936.54,928.05,2018-2-16 06:10 PM  
9936.54,928.05,2018-2-16 06:10 PM  
9936.54,928.05,2018-2-16 06:10 PM  
9936.54,928.05,2018-2-16 06:10 PM  
9939.8,928.07,2018-2-16 06:10 PM  
9939.8,928.07,2018-2-16 06:10 PM  
9939.8,928.07,2018-2-16 06:10 PM  
9939.8,928.07,2018-2-16 06:10 PM  
9939.8,928.07,2018-2-16 06:10 PM  
9939.8,928.07,2018-2-16 06:10 PM  
9939.8,928.07,2018-2-16 06:10 PM  
9944.65,928.36,2018-2-16 06:11 PM  
9944.22,928.69,2018-2-16 06:11 PM  
9944.22,928.69,2018-2-16 06:11 PM  
9944.22,928.69,2018-2-16 06:11 PM  
9944.22,928.69,2018-2-16 06:12 PM  
9944.22,928.69,2018-2-16 06:12 PM  
9944.22,928.69,2018-2-16 06:12 PM  
9945.38,928.86,2018-2-16 06:12 PM  
9945.38,928.86,2018-2-16 06:12 PM  
9945.38,928.86,2018-2-16 06:12 PM  
9945.38,928.86,2018-2-16 06:12 PM  
9945.38,928.86,2018-2-16 06:12 PM  
9945.38,928.86,2018-2-16 06:12 PM  
9963.96,929.48,2018-2-16 06:16 PM  
9965.94,929.59,2018-2-16 06:16 PM  
9965.94,929.59,2018-2-16 06:16 PM  
9965.94,929.59,2018-2-16 06:16 PM  
9965.94,929.59,2018-2-16 06:16 PM  
9965.94,929.59,2018-2-16 06:16 PM  
9965.94,929.59,2018-2-16 06:16 PM  
9965.94,929.59,2018-2-16 06:16 PM  
9965.94,929.59,2018-2-16 06:16 PM  
9970.64,929.69,2018-2-16 06:16 PM  
9970.64,929.69,2018-2-16 06:16 PM  
9970.64,929.69,2018-2-16 06:16 PM  
9970.64,929.69,2018-2-16 06:16 PM  
9970.64,929.69,2018-2-16 06:16 PM  
9970.64,929.69,2018-2-16 06:16 PM  
9970.64,929.69,2018-2-16 06:16 PM  
